"Rank","Root Domain","Linking Root Domains","Domain Authority"
"181","pbs.org","422,788","93"
"182","bitly.com","330,698","93"
"183","www.livejournal.com","3,038,577","93"
"184","stackoverflow.com","284,360","93"
"185","wp.com","914,666","93"
"186","yadi.sk","170,982","93"
"187","ytimg.com","248,509","93"
"188","abc.es","157,046","93"
"189","depositfiles.com","139,350","93"
"190","whitehouse.gov","315,528","93"
"191","ietf.org","349,486","93"
"192","www.over-blog.com","628,863","93"
"193","enable-javascript.com","1,221,380","93"
"194","m.wikipedia.org","228,720","93"
"195","cambridge.org","222,624","93"
"196","ea.com","157,105","93"
"197","lemonde.fr","224,458","93"
"198","ikea.com","263,523","93"
"199","qq.com","4,174,542","93"
"200","shutterstock.com","250,481","93"
"201","bandcamp.com","509,608","93"
"202","akamaihd.net","412,051","93"
"203","hp.com","389,740","93"
"204","ru.wikipedia.org","352,517","93"
"205","imageshack.us","782,528","93"
"206","mysql.com","400,663","93"
"207","gizmodo.com","340,038","93"
"208","photobucket.com","1,571,872","93"
"209","digg.com","820,471","93"
"210","walmart.com","267,819","93"
"211","addtoany.com","709,675","93"
"212","ign.com","231,822","93"
"213","abc.net.au","324,244","93"
"214","pexels.com","144,470","93"
"215","weibo.com","1,489,389","93"
"216","goo.ne.jp","297,466","93"
"217","goodreads.com","671,587","93"
"218","secureserver.net","934,250","93"
"219","worldbank.org","204,178","93"
"220","elmundo.es","192,233","93"
"221","bt.com","171,598","93"
"222","finance.yahoo.com","371,228","93"
"223","hollywoodreporter.com","215,365","93"
"224","biglobe.ne.jp","223,203","93"
"225","theatlantic.com","425,541","93"
"226","www.weebly.com","337,612","93"
"227","express.co.uk","204,186","93"
"228","ja.wikipedia.org","328,104","93"
"229","trustpilot.com","326,533","93"
"230","dw.com","221,779","93"
"231","tes.com","399,111","93"
"232","berkeley.edu","389,110","93"
"233","instagram.com","20,743,856","93"
"234","researchgate.net","322,098","93"
"235","nature.com","443,262","93"
"236","e-recht24.de","444,613","93"
"237","over-blog-kiwi.com","158,980","93"
"238","cnbc.com","398,330","93"
"239","nypost.com","291,060","93"
"240","mashable.com","343,401","93"
"241","godaddy.com","2,331,687","93"
"242","vox.com","378,920","93"
"243","it.wikipedia.org","284,097","93"
"244","cisco.com","207,428","93"
"245","forms.gle","346,703","93"
"246","asus.com","139,130","93"
"247","bp0.blogger.com","521,247","93"
"248","sciencedaily.com","289,912","93"
"249","yandex.ru","911,506","93"
"250","google.com.tw","124,675","93"
"251","list-manage.com","657,418","93"
"252","naver.jp","129,351","93"
"253","ox.ac.uk","220,355","93"
"254","sendspace.com","149,314","93"
"255","ted.com","479,886","93"
"256","mystrikingly.com","258,495","93"
"257","rapidshare.com","280,396","93"
"258","search.yahoo.com","410,580","93"
"259","amazon.fr","218,959","93"
"260","ziddu.com","166,613","93"
"261","yelp.com","809,719","93"
"262","gmail.com","181,235","93"
"263","icann.org","408,453","93"
"264","dell.com","207,674","93"
"265","smh.com.au","262,758","93"
"266","xbox.com","145,151","93"
"267","thetimes.co.uk","298,741","93"
"268","pixabay.com","299,578","93"
"269","sapo.pt","205,333","93"
"270","playstation.com","180,654","93"
"271","mozilla.com","198,107","93"
"272","techcrunch.com","392,398","93"
"273","ggpht.com","572,595","93"
"274","huffpost.com","415,822","93"
"275","nhk.or.jp","205,865","93"
"276","spotify.com","1,122,355","93"
"277","cbc.ca","348,652","93"
"278","cbsnews.com","428,181","93"
"279","nginx.com","471,610","93"
"280","privacyshield.gov","420,536","93"
"281","fifa.com","142,288","93"
"282","gnu.org","565,270","93"
"283","buzzfeed.com","446,419","93"
"284","news.com.au","253,883","93"
"285","iubenda.com","184,511","93"
"286","ria.ru","153,974","93"
"287","nydailynews.com","302,086","93"
"288","britannica.com","269,939","93"
"289","disqus.com","918,093","93"
"290","guardian.co.uk","520,116","93"
"291","indiatimes.com","335,225","93"
"292","wa.me","444,058","93"
"293","php.net","624,913","93"
"294","wiley.com","439,752","93"
"295","ovh.com","419,919","93"
"296","spiegel.de","264,233","93"
"297","princeton.edu","280,455","93"
"298","groups.google.com","299,649","93"
"299","noaa.gov","283,727","93"
"300","scoop.it","337,210","93"
"301","espn.com","304,725","93"
"302","nvidia.com","145,831","93"
"303","storage.googleapis.com","476,641","93"
"304","nokia.com","158,478","93"
"305","engadget.com","398,539","93"
"306","nginx.org","558,109","93"
"307","netflix.com","245,419","93"
"308","yahoo.co.jp","619,524","93"
"309","yale.edu","277,869","93"
"310","umich.edu","293,251","93"
"311","sciencedirect.com","423,010","93"
"312","channel4.com","143,496","93"
"313","theverge.com","303,488","93"
"314","bp2.blogger.com","521,495","93"
"315","about.com","669,133","93"
"316","bloglovin.com","443,787","93"
"317","picasa.google.com","247,799","93"
"318","doubleclick.net","645,875","93"
"319","unesco.org","255,289","93"
"320","tripadvisor.com","447,818","93"
"321","instructables.com","273,123","93"
"322","usnews.com","324,903","93"
"323","oracle.com","526,473","93"
"324","mega.nz","151,560","93"
"325","addthis.com","696,274","93"
"326","surveymonkey.com","382,786","93"
"327","alibaba.com","364,934","93"
"328","nationalgeographic.com","532,117","93"
"329","google.co.in","239,720","93"
"330","npr.org","599,461","93"
"331","urbandictionary.com","206,202","93"
"332","latimes.com","577,179","93"
"333","mit.edu","569,316","93"
"334","deezer.com","126,202","93"
"335","standard.co.uk","145,527","93"
"336","apache.org","885,627","93"
"337","naver.com","421,551","93"
"338","hm.com","154,170","93"
"339","t.co","1,700,577","93"
"340","academia.edu","284,110","93"
"341","variety.com","199,596","93"
"342","www.wikipedia.org","522,136","93"
"343","kickstarter.com","405,151","93"
"344","washington.edu","308,665","93"
"345","box.com","231,752","93"
"346","columbia.edu","275,144","93"
"347","pl.wikipedia.org","128,768","93"
"348","adssettings.google.com","299,964","93"
"349","google.co.id","135,583","93"
"350","netvibes.com","1,150,959","93"
"351","my.yahoo.com","1,134,470","93"
"352","googleblog.com","215,131","93"
"353","4shared.com","506,050","93"
"354","skype.com","365,372","93"
"355","economist.com","303,963","93"
"356","twitch.tv","300,811","93"
"357","ovh.net","727,038","93"
"358","zendesk.com","444,754","93"
"359","newsweek.com","245,059","93"
"360","welt.de","158,939","93"
"361","utexas.edu","232,093","93"
"362","google.nl","216,899","93"
"363","psychologytoday.com","273,922","93"
"364","sfgate.com","317,595","93"
"365","rambler.ru","229,044","93"
"366","ibm.com","438,700","93"
"367","shopify.com","1,244,961","93"
"368","disney.com","211,572","93"
"369","eventbrite.com","539,046","93"
"370","wikihow.com","348,264","93"
"371","stanford.edu","508,812","93"
"372","groups.yahoo.com","301,344","92"
"373","sina.com.cn","1,106,704","92"
"374","eonline.com","175,002","92"
"375","ehow.com","228,072","92"
"376","m.me","164,192","92"
"377","plos.org","221,314","92"
"378","fda.gov","279,832","92"
"379","ca.gov","376,244","92"
"380","sky.com","185,557","92"
"381","unicef.org","139,370","92"
"382","vkontakte.ru","373,132","92"
"383","chron.com","194,998","92"
"384","target.com","226,784","92"
"385","amzn.to","713,921","92"
"386","example.com","253,537","92"
"387","imgur.com","1,121,022","92"
"388","geocities.jp","242,390","92"
"389","windowsphone.com","121,689","92"
"390","ed.gov","235,527","92"
"391","pinterest.co.uk","156,470","92"
"392","marketwatch.com","282,657","92"
"393","huawei.com","129,092","92"
"394","state.gov","263,491","92"
"395","cia.gov","135,153","92"
"396","mixcloud.com","172,501","92"
"397","chinadaily.com.cn","271,271","92"
"398","answers.yahoo.com","188,296","92"
"399","dreniq.com","334,385","92"
"400","fastcompany.com","255,620","92"
"401","seattletimes.com","148,730","92"
"402","businessinsider.com.au","264,288","92"
"403","ucoz.ru","182,232","92"
"404","inc.com","207,857","92"
"405","avast.com","120,656","92"
"406","billboard.com","164,419","92"
"407","thoughtco.com","293,489","92"
"408","arxiv.org","178,955","92"
"409","ebay.co.uk","202,714","92"
"410","vchecks.me","217,146","92"
"411","fb.me","230,474","92"
"412","uber.com","120,467","92"
"413","venturebeat.com","179,894","92"
"414","answers.com","216,420","92"
"415","iso.org","170,423","92"
"416","tabelog.com","140,059","92"
"417","intel.com","223,352","92"
"418","imageshack.com","434,203","92"
"419","liveinternet.ru","267,188","92"
"420","consumerreports.org","148,502","92"
"421","excite.co.jp","485,328","92"
"422","zdnet.com","241,863","92"
"423","prestashop.com","158,066","92"
"424","stuff.co.nz","137,113","92"
"425","cbslocal.com","268,714","92"
"426","xing.com","405,361","92"
"427","chicagotribune.com","297,962","92"
"428","digitaltrends.com","160,357","92"
"429","thedailybeast.com","204,038","92"
"430","statista.com","185,226","92"
"431","sports.yahoo.com","177,215","92"
"432","lifehacker.com","203,543","92"
"433","bp3.blogger.com","521,423","92"
"434","viagens.com.br","126,887","92"
"435","dictionary.com","242,227","92"
"436","amazon.in","135,014","92"
"437","calameo.com","150,707","92"
"438","etsy.com","1,502,129","92"
"439","usgs.gov","195,503","92"
"440","newyorker.com","319,196","92"
"4400","http://get-premium-accounts.free.gg.play","6969696"
"441","wiktionary.org","242,018","92"
"442","thenextweb.com","168,199","92"
"443","amazon.ca","177,153","92"
"444","dribbble.com","392,948","92"
"445","soratemplates.com","199,952","92"
"446","evernote.com","255,500","92"
"447","elsevier.com","224,507","92"
"448","snapchat.com","157,022","92"
"449","offset.com","784,689","92"
"450","csmonitor.com","168,694","92"
"451","greenpeace.org","149,912","92"
"452","kinja.com","193,809","92"
"453","canva.com","132,338","92"
"454","politico.com","207,303","92"
"455","nicovideo.jp","138,070","92"
"456","ndtv.com","153,006","92"
"457","lego.com","120,452","92"
"458","adweek.com","163,837","92"
"459","behance.net","668,924","92"
"460","ap.org","177,416","92"
"461","redhat.com","187,176","92"
"462","steamcommunity.com","180,285","92"
"463","about.me","277,305","92"
"464","giphy.com","320,801","92"
"465","repubblica.it","171,435","92"
"466","thefreedictionary.com","192,019","92"
"467","livescience.com","215,383","92"
"468","nifty.com","213,440","92"
"469","zoom.us","293,554","92"
"470","20minutos.es","121,273","92"
"471","house.gov","230,624","92"
"472","allrecipes.com","150,131","92"
"473","coursera.org","136,935","92"
"474","biblegateway.com","205,544","92"
"475","stores.jp","407,940","92"
"476","weforum.org","149,955","92"
"477","rottentomatoes.com","195,241","92"
"478","cam.ac.uk","198,151","92"
"479","discord.gg","174,219","92"
"480","softonic.com","132,468","92"
"481","softpedia.com","160,406","92"
"482","vice.com","305,835","92"
"483","a8.net","422,558","92"
"484","amazon.it","125,965","92"
"485","feedburner.google.com","320,202","92"
"486","people.com","196,030","92"
"487","scientificamerican.com","247,940","92"
"488","blog.fc2.com","406,420","92"
"489","psu.edu","268,752","92"
"490","thehill.com","171,275","92"
"491","ieee.org","186,135","92"
"492","000webhost.com","276,856","92"
"493","usc.edu","187,324","92"
"494","cocolog-nifty.com","182,740","92"
"495","sputniknews.com","136,524","92"
"496","foursquare.com","233,427","92"
"497","last.fm","372,393","92"
"498","thestar.com","184,125","92"
"499","discovery.com","220,766","92"
"500","slate.com","307,371","92"
